report_id,company_inn,sign,item_index,code,name,chapter
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,positive,10,taxReporting,"Не найден в реестре организаций не сдающих отчётность, компания соблюдает свои обязательства по предоставлению отчетности и, вероятно, ведет бизнес прозрачно.",reestrs
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,positive,11,invalidAddress,"Не найден в реестре организаций с фиктивным адресом, это подтверждает, что компания зарегистрирована по реальному адресу, где фактически осуществляет свою деятельность.",reestrs
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,positive,12,invalidAuthpersonsData,"Не найден в реестре организаций с номинальным руководителем или с меткой о недостоверных данных руководителя, руководитель компании, вероятно, является реальным лицом, управляющим компанией, и информация о нем достоверна.",manager
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,positive,13,invalidRegistrationData,"Не найден в реестре организаций с недостоверными регистрационными данными, что говорит о благонадежности компании, информация о компании соответствует действительности.",reestrs
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,positive,14,proceeds,"У компании есть выручка за предыдущий год в размере 60746.0 тыс. руб., что свидетельствует о наличии стабильного дохода и успешной деятельности.",finance
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,positive,15,massOkved,"У компании небольшое количество кодов ОКВЭД, что может указывать на то, что компания сосредоточена на определенных видах деятельности и, вероятно, обладает опытом и специализацией в этих областях.",okved
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,positive,0,fnsBlocking,"Нет блокировок банковских счетов по постановлениям налоговой на текущую дату, что может говорить об отсутствии у компании проблем с налоговыми органами, которые привели бы к блокировке счетов.",reestrs
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,positive,1,executionProceedings,"Нет действующих исполнительных производств, в которых выступает в качестве ответчика, это может указывать на то, что компания своевременно исполняет свои обязательства и не имеет серьезных финансовых проблем.",execproc
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,positive,2,liquidationStatus,"Не найден в реестре организаций проходящих процедуру банкротства, что может свидетельствовать об отсутствии у компании текущих процедур банкротства, что является положительным знаком при оценке ее финансовой устойчивости.",reestrs
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,positive,3,massAuthpersons,"Не найден в реестре организаций с массовым директором или учредителем, вероятно, компания не используется в сомнительных схемах, что повышает доверие к ее деятельности.",manager
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,positive,4,massAddress,"Не найден в реестре организаций с массовым адресом, что может свидетельствовать о достоверности и актуальности данных об адресе юридического лица.",reestrs
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,positive,5,dishonestProvider,"Не найден в реестре организаций недобросовестных поставщиков, что может свидетельствовать об отсутствии у компании негативных историй участия в государственных закупках.",reestrs
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,positive,6,disqualifiedAuthpersons,"Руководитель организации не найден в реестре дисквалифицированных лиц, руководитель компании, вероятно, не имеет ограничений на занятие руководящих должностей и не был дисквалифицирован за нарушения законодательства.",manager
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,positive,7,аrbitrationDefendant,"Не найдены арбитражные дела, в которых выступает в качестве ответчика, что может свидетельствовать о том, что компания, вероятно, соблюдает свои обязательства и эффективно решает возникающие споры.",arbitr
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,positive,8,taxArrears,"Не найден в реестре организаций должников ФНС, что может свидетельствовать об отсутствии задолженности перед налоговыми органами, что является положительным фактором при оценке надежности контрагента.",reestrs
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,positive,9,taxReporting,"Не найден в реестре организаций не сдающих отчётность, компания соблюдает свои обязательства по предоставлению отчетности и, вероятно, ведет бизнес прозрачно.",reestrs
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,positive,10,invalidAddress,"Не найден в реестре организаций с фиктивным адресом, это подтверждает, что компания зарегистрирована по реальному адресу, где фактически осуществляет свою деятельность.",reestrs
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,positive,11,invalidAuthpersonsData,"Не найден в реестре организаций с номинальным руководителем или с меткой о недостоверных данных руководителя, руководитель компании, вероятно, является реальным лицом, управляющим компанией, и информация о нем достоверна.",manager
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,positive,12,invalidRegistrationData,"Не найден в реестре организаций с недостоверными регистрационными данными, что говорит о благонадежности компании, информация о компании соответствует действительности.",reestrs
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,positive,13,massOkved,"У компании небольшое количество кодов ОКВЭД, что может указывать на то, что компания сосредоточена на определенных видах деятельности и, вероятно, обладает опытом и специализацией в этих областях.",okved
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,negative,0,profit,"Компания понесла убыток в размере -6518.0 тыс. руб., что может указывать на нестабильность финансовых результатов.",finance
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,positive,0,fnsBlocking,"Нет блокировок банковских счетов по постановлениям налоговой на текущую дату, что может говорить об отсутствии у компании проблем с налоговыми органами, которые привели бы к блокировке счетов.",reestrs
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,positive,1,relatedCompanies,"У компании есть связанные компании, это позволяет проанализировать не только текущую деятельность контрагента, но и историю связанных с ним организаций. Изучите информацию о связанных компаниях, их деятельности и истории, чтобы получить более полное представление о контрагенте и его надежности.",relatedComp
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,positive,2,executionProceedings,"Нет действующих исполнительных производств, в которых выступает в качестве ответчика, это может указывать на то, что компания своевременно исполняет свои обязательства и не имеет серьезных финансовых проблем.",execproc
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,positive,3,liquidationStatus,"Не найден в реестре организаций проходящих процедуру банкротства, что может свидетельствовать об отсутствии у компании текущих процедур банкротства, что является положительным знаком при оценке ее финансовой устойчивости.",reestrs
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,positive,4,massAuthpersons,"Не найден в реестре организаций с массовым директором или учредителем, вероятно, компания не используется в сомнительных схемах, что повышает доверие к ее деятельности.",manager
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,positive,5,massAddress,"Не найден в реестре организаций с массовым адресом, что может свидетельствовать о достоверности и актуальности данных об адресе юридического лица.",reestrs
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,positive,6,dishonestProvider,"Не найден в реестре организаций недобросовестных поставщиков, что может свидетельствовать об отсутствии у компании негативных историй участия в государственных закупках.",reestrs
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,positive,7,disqualifiedAuthpersons,"Руководитель организации не найден в реестре дисквалифицированных лиц, руководитель компании, вероятно, не имеет ограничений на занятие руководящих должностей и не был дисквалифицирован за нарушения законодательства.",manager
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,positive,8,аrbitrationDefendant,"Не найдены арбитражные дела, в которых выступает в качестве ответчика, что может свидетельствовать о том, что компания, вероятно, соблюдает свои обязательства и эффективно решает возникающие споры.",arbitr
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,positive,9,taxArrears,"Не найден в реестре организаций должников ФНС, что может свидетельствовать об отсутствии задолженности перед налоговыми органами, что является положительным фактором при оценке надежности контрагента.",reestrs
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,positive,10,taxReporting,"Не найден в реестре организаций не сдающих отчётность, компания соблюдает свои обязательства по предоставлению отчетности и, вероятно, ведет бизнес прозрачно.",reestrs
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,positive,11,invalidAddress,"Не найден в реестре организаций с фиктивным адресом, это подтверждает, что компания зарегистрирована по реальному адресу, где фактически осуществляет свою деятельность.",reestrs
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,positive,12,invalidAuthpersonsData,"Не найден в реестре организаций с номинальным руководителем или с меткой о недостоверных данных руководителя, руководитель компании, вероятно, является реальным лицом, управляющим компанией, и информация о нем достоверна.",manager
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,positive,13,invalidRegistrationData,"Не найден в реестре организаций с недостоверными регистрационными данными, что говорит о благонадежности компании, информация о компании соответствует действительности.",reestrs
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,positive,14,massOkved,"У компании небольшое количество кодов ОКВЭД, что может указывать на то, что компания сосредоточена на определенных видах деятельности и, вероятно, обладает опытом и специализацией в этих областях.",okved
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,positive,15,currentAssets,"У компании имеются оборотные активы в размере 121259.0 тыс. руб., что обеспечивает достаточную ликвидность для покрытия краткосрочных обязательств и ведения текущей деятельности.",finance
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,positive,16,uncurrentAssets,"У компании есть внеоборотные активы на сумму 237739.0 тыс. руб., что, вероятно, может говорить о стабильном положении и долгосрочных перспективах развития.",finance
20b391d1-468c-5ad9-a033-76474aa2ed16,120705254031,positive,0,fnsBlocking,"Нет блокировок банковских счетов по постановлениям налоговой на текущую дату, что может говорить об отсутствии у компании проблем с налоговыми органами, которые привели бы к блокировке счетов.",reestrs
20b391d1-468c-5ad9-a033-76474aa2ed16,120705254031,positive,1,executionProceedings,"Нет действующих исполнительных производств, в которых выступает в качестве ответчика, это может указывать на то, что компания своевременно исполняет свои обязательства и не имеет серьезных финансовых проблем.",execproc
20b391d1-468c-5ad9-a033-76474aa2ed16,120705254031,positive,2,liquidationStatus,"Не найден в реестре организаций проходящих процедуру банкротства, что может свидетельствовать об отсутствии у компании текущих процедур банкротства, что является положительным знаком при оценке ее финансовой устойчивости.",reestrs
20b391d1-468c-5ad9-a033-76474aa2ed16,120705254031,positive,3,massAuthpersons,"Не найден в реестре организаций с массовым директором или учредителем, вероятно, компания не используется в сомнительных схемах, что повышает доверие к ее деятельности.",manager
20b391d1-468c-5ad9-a033-76474aa2ed16,120705254031,positive,4,massAddress,"Не найден в реестре организаций с массовым адресом, что может свидетельствовать о достоверности и актуальности данных об адресе юридического лица.",reestrs
20b391d1-468c-5ad9-a033-76474aa2ed16,120705254031,positive,5,dishonestProvider,"Не найден в реестре организаций недобросовестных поставщиков, что может свидетельствовать об отсутствии у компании негативных историй участия в государственных закупках.",reestrs
20b391d1-468c-5ad9-a033-76474aa2ed16,120705254031,positive,6,disqualifiedAuthpersons,"Руководитель организации не найден в реестре дисквалифицированных лиц, руководитель компании, вероятно, не имеет ограничений на занятие руководящих должностей и не был дисквалифицирован за нарушения законодательства.",manager
20b391d1-468c-5ad9-a033-76474aa2ed16,120705254031,positive,7,аrbitrationDefendant,"Не найдены арбитражные дела, в которых выступает в качестве ответчика, что может свидетельствовать о том, что компания, вероятно, соблюдает свои обязательства и эффективно решает возникающие споры.",arbitr
20b391d1-468c-5ad9-a033-76474aa2ed16,120705254031,positive,8,taxArrears,"Не найден в реестре организаций должников ФНС, что может свидетельствовать об отсутствии задолженности перед налоговыми органами, что является положительным фактором при оценке надежности контрагента.",reestrs
20b391d1-468c-5ad9-a033-76474aa2ed16,120705254031,positive,9,taxReporting,"Не найден в реестре организаций не сдающих отчётность, компания соблюдает свои обязательства по предоставлению отчетности и, вероятно, ведет бизнес прозрачно.",reestrs
20b391d1-468c-5ad9-a033-76474aa2ed16,120705254031,positive,10,invalidAddress,"Не найден в реестре организаций с фиктивным адресом, это подтверждает, что компания зарегистрирована по реальному адресу, где фактически осуществляет свою деятельность.",reestrs
20b391d1-468c-5ad9-a033-76474aa2ed16,120705254031,positive,11,invalidAuthpersonsData,"Не найден в реестре организаций с номинальным руководителем или с меткой о недостоверных данных руководителя, руководитель компании, вероятно, является реальным лицом, управляющим компанией, и информация о нем достоверна.",manager
20b391d1-468c-5ad9-a033-76474aa2ed16,120705254031,positive,12,invalidRegistrationData,"Не найден в реестре организаций с недостоверными регистрационными данными, что говорит о благонадежности компании, информация о компании соответствует действительности.",reestrs
20b391d1-468c-5ad9-a033-76474aa2ed16,120705254031,positive,13,massOkved,"У компании небольшое количество кодов ОКВЭД, что может указывать на то, что компания сосредоточена на определенных видах деятельности и, вероятно, обладает опытом и специализацией в этих областях.",okved
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,negative,0,massOkved,"Компания имеет большое количество кодов ОКВЭД, что  может быть связано с попыткой компании охватить как можно больше направлений бизнеса, это может отрицательно сказаться на ее эффективности и надежности.",okved
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,negative,1,massAddress,"Находится в реестре организаций с массовым адресом, что может быть признаком фиктивной регистрации.",reestrs
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,positive,0,fnsBlocking,"Нет блокировок банковских счетов по постановлениям налоговой на текущую дату, что может говорить об отсутствии у компании проблем с налоговыми органами, которые привели бы к блокировке счетов.",reestrs
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,positive,1,relatedCompanies,"У компании есть связанные компании, это позволяет проанализировать не только текущую деятельность контрагента, но и историю связанных с ним организаций. Изучите информацию о связанных компаниях, их деятельности и истории, чтобы получить более полное представление о контрагенте и его надежности.",relatedComp
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,positive,2,executionProceedings,"Нет действующих исполнительных производств, в которых выступает в качестве ответчика, это может указывать на то, что компания своевременно исполняет свои обязательства и не имеет серьезных финансовых проблем.",execproc
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,positive,3,liquidationStatus,"Не найден в реестре организаций проходящих процедуру банкротства, что может свидетельствовать об отсутствии у компании текущих процедур банкротства, что является положительным знаком при оценке ее финансовой устойчивости.",reestrs
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,positive,4,massAuthpersons,"Не найден в реестре организаций с массовым директором или учредителем, вероятно, компания не используется в сомнительных схемах, что повышает доверие к ее деятельности.",manager
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,positive,5,dishonestProvider,"Не найден в реестре организаций недобросовестных поставщиков, что может свидетельствовать об отсутствии у компании негативных историй участия в государственных закупках.",reestrs
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,positive,6,disqualifiedAuthpersons,"Руководитель организации не найден в реестре дисквалифицированных лиц, руководитель компании, вероятно, не имеет ограничений на занятие руководящих должностей и не был дисквалифицирован за нарушения законодательства.",manager
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,positive,7,аrbitrationDefendant,"Не найдены арбитражные дела, в которых выступает в качестве ответчика, что может свидетельствовать о том, что компания, вероятно, соблюдает свои обязательства и эффективно решает возникающие споры.",arbitr
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,positive,8,taxArrears,"Не найден в реестре организаций должников ФНС, что может свидетельствовать об отсутствии задолженности перед налоговыми органами, что является положительным фактором при оценке надежности контрагента.",reestrs
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,positive,9,taxReporting,"Не найден в реестре организаций не сдающих отчётность, компания соблюдает свои обязательства по предоставлению отчетности и, вероятно, ведет бизнес прозрачно.",reestrs
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,positive,10,invalidAddress,"Не найден в реестре организаций с фиктивным адресом, это подтверждает, что компания зарегистрирована по реальному адресу, где фактически осуществляет свою деятельность.",reestrs
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,positive,11,invalidAuthpersonsData,"Не найден в реестре организаций с номинальным руководителем или с меткой о недостоверных данных руководителя, руководитель компании, вероятно, является реальным лицом, управляющим компанией, и информация о нем достоверна.",manager
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,positive,12,invalidRegistrationData,"Не найден в реестре организаций с недостоверными регистрационными данными, что говорит о благонадежности компании, информация о компании соответствует действительности.",reestrs
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,positive,13,proceeds,"У компании есть выручка за предыдущий год в размере 806284.0 тыс. руб., что свидетельствует о наличии стабильного дохода и успешной деятельности.",finance
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,positive,14,profit,"У компании есть прибыль за предыдущий год в размере 7894.0 тыс. руб., что указывает на эффективное управление затратами и положительные финансовые результаты.",finance
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,positive,15,currentAssets,"У компании имеются оборотные активы в размере 18696.0 тыс. руб., что обеспечивает достаточную ликвидность для покрытия краткосрочных обязательств и ведения текущей деятельности.",finance
4fb136e4-ddc0-55d5-9e3b-6a251fa89983,666201003180,positive,0,fnsBlocking,"Нет блокировок банковских счетов по постановлениям налоговой на текущую дату, что может говорить об отсутствии у компании проблем с налоговыми органами, которые привели бы к блокировке счетов.",reestrs
4fb136e4-ddc0-55d5-9e3b-6a251fa89983,666201003180,positive,1,executionProceedings,"Нет действующих исполнительных производств, в которых выступает в качестве ответчика, это может указывать на то, что компания своевременно исполняет свои обязательства и не имеет серьезных финансовых проблем.",execproc
4fb136e4-ddc0-55d5-9e3b-6a251fa89983,666201003180,positive,2,liquidationStatus,"Не найден в реестре организаций проходящих процедуру банкротства, что может свидетельствовать об отсутствии у компании текущих процедур банкротства, что является положительным знаком при оценке ее финансовой устойчивости.",reestrs
4fb136e4-ddc0-55d5-9e3b-6a251fa89983,666201003180,positive,3,massAuthpersons,"Не найден в реестре организаций с массовым директором или учредителем, вероятно, компания не используется в сомнительных схемах, что повышает доверие к ее деятельности.",manager
4fb136e4-ddc0-55d5-9e3b-6a251fa89983,666201003180,positive,4,massAddress,"Не найден в реестре организаций с массовым адресом, что может свидетельствовать о достоверности и актуальности данных об адресе юридического лица.",reestrs
4fb136e4-ddc0-55d5-9e3b-6a251fa89983,666201003180,positive,5,dishonestProvider,"Не найден в реестре организаций недобросовестных поставщиков, что может свидетельствовать об отсутствии у компании негативных историй участия в государственных закупках.",reestrs
4fb136e4-ddc0-55d5-9e3b-6a251fa89983,666201003180,positive,6,disqualifiedAuthpersons,"Руководитель организации не найден в реестре дисквалифицированных лиц, руководитель компании, вероятно, не имеет ограничений на занятие руководящих должностей и не был дисквалифицирован за нарушения законодательства.",manager
4fb136e4-ddc0-55d5-9e3b-6a251fa89983,666201003180,positive,7,аrbitrationDefendant,"Не найдены арбитражные дела, в которых выступает в качестве ответчика, что может свидетельствовать о том, что компания, вероятно, соблюдает свои обязательства и эффективно решает возникающие споры.",arbitr
4fb136e4-ddc0-55d5-9e3b-6a251fa89983,666201003180,positive,8,taxArrears,"Не найден в реестре организаций должников ФНС, что может свидетельствовать об отсутствии задолженности перед налоговыми органами, что является положительным фактором при оценке надежности контрагента.",reestrs
4fb136e4-ddc0-55d5-9e3b-6a251fa89983,666201003180,positive,9,taxReporting,"Не найден в реестре организаций не сдающих отчётность, компания соблюдает свои обязательства по предоставлению отчетности и, вероятно, ведет бизнес прозрачно.",reestrs
4fb136e4-ddc0-55d5-9e3b-6a251fa89983,666201003180,positive,10,invalidAddress,"Не найден в реестре организаций с фиктивным адресом, это подтверждает, что компания зарегистрирована по реальному адресу, где фактически осуществляет свою деятельность.",reestrs
4fb136e4-ddc0-55d5-9e3b-6a251fa89983,666201003180,positive,11,invalidAuthpersonsData,"Не найден в реестре организаций с номинальным руководителем или с меткой о недостоверных данных руководителя, руководитель компании, вероятно, является реальным лицом, управляющим компанией, и информация о нем достоверна.",manager
4fb136e4-ddc0-55d5-9e3b-6a251fa89983,666201003180,positive,12,invalidRegistrationData,"Не найден в реестре организаций с недостоверными регистрационными данными, что говорит о благонадежности компании, информация о компании соответствует действительности.",reestrs
4fb136e4-ddc0-55d5-9e3b-6a251fa89983,666201003180,positive,13,massOkved,"У компании небольшое количество кодов ОКВЭД, что может указывать на то, что компания сосредоточена на определенных видах деятельности и, вероятно, обладает опытом и специализацией в этих областях.",okved
3acd71e3-f0a3-5027-97f9-5159e331a8a0,3100037306,negative,0,massOkved,"Компания имеет большое количество кодов ОКВЭД, что  может быть связано с попыткой компании охватить как можно больше направлений бизнеса, это может отрицательно сказаться на ее эффективности и надежности.",okved
3acd71e3-f0a3-5027-97f9-5159e331a8a0,3100037306,positive,0,fnsBlocking,"Нет блокировок банковских счетов по постановлениям налоговой на текущую дату, что может говорить об отсутствии у компании проблем с налоговыми органами, которые привели бы к блокировке счетов.",reestrs
3acd71e3-f0a3-5027-97f9-5159e331a8a0,3100037306,positive,1,relatedCompanies,"У компании есть связанные компании, это позволяет проанализировать не только текущую деятельность контрагента, но и историю связанных с ним организаций. Изучите информацию о связанных компаниях, их деятельности и истории, чтобы получить более полное представление о контрагенте и его надежности.",relatedComp
3acd71e3-f0a3-5027-97f9-5159e331a8a0,3100037306,positive,2,executionProceedings,"Нет действующих исполнительных производств, в которых выступает в качестве ответчика, это может указывать на то, что компания своевременно исполняет свои обязательства и не имеет серьезных финансовых проблем.",execproc
3acd71e3-f0a3-5027-97f9-5159e331a8a0,3100037306,positive,3,liquidationStatus,"Не найден в реестре организаций проходящих процедуру банкротства, что может свидетельствовать об отсутствии у компании текущих процедур банкротства, что является положительным знаком при оценке ее финансовой устойчивости.",reestrs
3acd71e3-f0a3-5027-97f9-5159e331a8a0,3100037306,positive,4,massAuthpersons,"Не найден в реестре организаций с массовым директором или учредителем, вероятно, компания не используется в сомнительных схемах, что повышает доверие к ее деятельности.",manager
3acd71e3-f0a3-5027-97f9-5159e331a8a0,3100037306,positive,5,massAddress,"Не найден в реестре организаций с массовым адресом, что может свидетельствовать о достоверности и актуальности данных об адресе юридического лица.",reestrs
3acd71e3-f0a3-5027-97f9-5159e331a8a0,3100037306,positive,6,dishonestProvider,"Не найден в реестре организаций недобросовестных поставщиков, что может свидетельствовать об отсутствии у компании негативных историй участия в государственных закупках.",reestrs
3acd71e3-f0a3-5027-97f9-5159e331a8a0,3100037306,positive,7,disqualifiedAuthpersons,"Руководитель организации не найден в реестре дисквалифицированных лиц, руководитель компании, вероятно, не имеет ограничений на занятие руководящих должностей и не был дисквалифицирован за нарушения законодательства.",manager
